,sentence,학습용 분류
18,"3주 만에 어엿한 세 강아지 엄마된 ""개밥 아이돌’ 채널A ""개밥 주는 남자2’ 출연 걸그룹 ""러블리즈’의 애견일기 ""3주 정도 지냈는데 이젠 강아지들도 저희를 알아봐요.",1
19,"노무현 대통령님, 세상 일은 이제 저희에게 맡기고 편히 쉬십시오.",1
20,"익숙한 분들"" 박주민 더불어민주당 최고위원은 황교안 전 국무총리가 범보수 차기 대선주자로 높은 지지율을 받고 있는 것에 대해 ""저희(민주당)는 특별히 어떤 분이 뜬다, 안 뜬다 신경 쓰지 않는다""라고 말했다.",1
21,올림픽이 끝난 후 저희는 이전에 경험하지 못했던 관심과 사랑 속에 많은 행사들을 하였습니다.,1
22,"형: "" 저희가 계약한 곳이 보증금 500만원에 월세 30만원이었어요.",1
23,"저희는 빅데이터 처리 기반 게놈(유전체) IT 솔루션을 개발해 저렴한 가격으로 많은 사람이 DNA 분석을 해서 모든 질병을 치료할 수 있는 세상을 만드는 데 기여하고 싶습니다.""",1
24,"문 총장은 박 씨에게서 ""힘들어하시는 엄마를 지켜보는 저희 가족들도 너무 힘들었다. 오늘 엄마가 총장님 사과를 듣고 상처받은 거 조금이라도 괜찮아졌으면 좋겠다""는 편지 내용을 전해 듣고 연신 눈물을 흘렸다.",1
25,"하지만 이날 오후 박 장관은 인수위의 업무보고 연기 발표에 대해 ""저희들 보고 문건은 다 정해져 있다""며 ""(업무보고) 문건에 대해 특별한 변동 사항은 없다""고 했다.",1
26,저희가 예전부터 프린터 관련 기사를 꾸준히 써와서 그런지 지금도 관련 문의가 옵니다.,1
27,"이어 ""수원 팬들은 나를 좋아하지 않는다는 것을 알고 있다. (수원에서 열리는) 2차전에선 야유가 더 심해질 것이라 예상한다""며 ""저희 팀 선수들에게 이야기해주고 싶다. 내가 이만큼 욕먹고 있으니, 너희들이 그만큼 잘 해야한다고 이야기 할 것""이라고 덧붙였다.",1
28,"그런데 저희가 들은 단어는 메 갈 X이 다... 속닥속닥 거리고. 저희도 불쾌해서 ' 한남' 그런 단어들이 나왔다"" 이라고 했다.",1
29,"마마무는 21일 공식 트위터를 통해 ""태권도 품새 여자대표팀의 은메달을 축하드린다. 저희 노래를 좋아해주신다니 정말 영광""이라고 말했다.",1
30,그에 맞을 만한 작품으로 저희는 꼭 보답 하겠습니다.,1
31,"또 성폭력 피해자들은 ""아직도 저희의 행동을 지켜보며 망설이고만 있는 많은 피해자분들이 계신 걸 안다""면서 ""괜찮다. 당신 잘못이 아니었다. 용기 내달라. 잘못한 이는 벌을 받고 희망을 품은 이는 기회를 맞을 수 있게, 노력하고 그 결과를 기대할 수 있는 세상이 되길 바란다""고 밝혔다.",1
32,"미친 거 아니냐"" 걸그룹 레이샤, 몰카 피해 폭로 이에 고은은 자신의 인스타그램을 통해 ""대놓고 '노이즈 마케팅' 아니냐 묻는 분들이 너무 많아 마음이 너무 아프다""며 ""저희가 피해 사실을 공개한 것은 피의자가 각성하길 바라는 마음으로 했던 것""이라고 밝혔다.",1
33,"이 관계자는 ""정보를 유출한 기업은 법에 따라 유출 항목이 어떤 건지, 규모는 어느 정도 되는지, 조치를 어떻게 할지 등에 대해 통지를 하게 돼있다. 삼양식품은 저희 쪽에 통지를 했다""라며 ""피해자 수는 2000명 정도에 달하는 것으로 파악된다. 정확한 피해 규모는 현장 조사를 한 뒤에 집계될 것""이라고 부연했다.",1
34,"A 씨의 회사 대표이사는 5일 오후 해당 맘 카페에 "" 저희 직원이 물의를 일으켜 사과의 말씀 드린다.",1
35,"그는 ""저희 조직(경제공진화모임)에 가장 중요한 게 대통령 보고서였고, 대통령께서 보고나서 수락했는지가 궁금했다""면서 ""김 지사의 말로는 ""문 대통령이 (보고서를) 봤는데 사실상 거절했다’는 식으로 이야기했다""고 말했다.",1
36,"그러면서 이 대표는 "" 저는 처음부터 경쟁 방식의 단일화는 지금 상황에서 가능하지 않지만 사퇴 후 지지선언 방식의 모습은 가능 하다고 이야기했었다"" 라며 "" 지난 서울시장 선거 때 저희가 단일화를 하고도 합당까지 이루지 못했던 사례를 생각해 봤을 때, 이번에는 꼭 합당까지 이루어졌으면 좋겠다는 것이 입장이었고, 그것이 그대로 반영되었기 때문에 저는 성공적인 어떤 그런 결말이다.",1
37,"그러면서 ""저희가 고소한 사실에 다른 여배우를 강간하거나 이런 내용도 나와 있는데 거기는 아예 쳐다보지도 않았다""며 ""세계적으로 유명한 감독이라는 것 때문에 서둘러 벌금 500만 원으로 면죄부를 준 것이라고 생각한다""고 거듭 주장했다.",1
38,저희 부부는 금방이라도 활짝 웃으며 들어오는 딸을 볼 수 있을 것 같은데….,1
39,"전 남자친구와 폭행 논란이 불거진 구하라가 헤어 디자이너인 전 남자친구 A 씨에게 성관계 동영상으로 협박을 당했다고 주장한 가운데, A 씨 뿐만 아니라 A 씨가 일했던 헤어숍을 향한 비난이 이어지자 해당 헤어숍 측이 ""A 팀장은 해당 사건 이후 저희 살롱에서 근무한 적이 단 하루도 없다""며 선을 그었다.",1
40,"이어 "" 저희가 결사적으로 반대하는 것은 이런 선한 정착을 악용해서 법으로 자가용 운송행위를 하는 플랫폼 업체이다.",1
41,"저희 또한 , 업계의 여러 회사들과 이 문제에 대해서 논의를 마치고 문화체육관광부, 공정거래위원회에 우선 조사를 의뢰하고 추가 결과에 따라 검찰에도 이 문제를 의뢰할 계획입니다.",1
42,"이어 해외에서의 성공에 대해서는 ""매력적인 캐릭터와 게임성, 그리고 과금 모델의 연계 또한 큰 이유겠지만, 결과적으로는 퀄리티와 디테일에 대한 집착이 해외의 게이머분들에게 와 닿았기 때문이라 생각한다""고 덧붙였으며, ""'벽람항로'를 기다려주셔서 감사하고, 그저 즐겁게만 플레이해주신다면, 저희에겐 더할 나위 없는 기쁨이 될 것 같다""고 한국의 게이머들에게 감사 인사를 전했다.",1
43,아직 완성까지 가야 할 길이 많지만 최대한 노력해서 게임을 개발 하고 있으니 '이누야샤'를 사랑하셨던 그리고 흥미롭게 만화를 보셨던 분들까지 모두 저희를 응원해 주셨으면 좋겠습니다.,1
44,"A 씨는 자신이 직접 겪은 내용임을 강조하며 ""회장님이 들어오면 교관들부터 눈물을 흘린다. 그런 분위기 속에서 어떻게 저희가 멀뚱멀뚱 가만히 있겠는가?""라고 말했다.",1
45,"조심스럽게 종 현의 이야기를 꺼낸 키는 "" 저희 다 그 일이 있고 나서 외상 후 스트레스 장애 상담을 받았다.",1
46,"토사물을 뱉는 분도 있는데, 저희가 다 직접 치웁니다.",1
47,"윤·안 후보는 ""저희는 원팀을 이뤄 완벽한 정권 교체를 실현하겠다""고 말했다.",1
48,정기공연을 하는 재즈 클럽은 저희가 처음이었으니까요.,1
49,"청와대 관계자는 두 명의 후보 중 허 변호사를 선택한 이유에 대해 ""저희가 선택할 수 있는 선택지가 워낙 한정되어 있기 때문에 어떤 분이 다른 분에 비해서 더 낫다 아니다 그렇게 선택하기가 어려운 측면이 있다""고 밝혔다.",1
50,"이에 정용화의 소속사 FNC엔터테인먼트 측은 공식입장을 통해 ""최근 정용화와 저희 소속사 담당자가 정용화의 경희대 응용예술학과 대학원 박사과정 입학문제로 경찰에 조사를 받았다""고 밝혔다.",1
51,"저희 매출은 전산 처리로 100% 노출된 것도 있지만, 한 달 매출이 5000만원이었으니.",1
52,"이재명 지사의 형수인 박인복 씨는 6월 국회에서 ""2012년 6월 7일 동서인 김혜경(이재명 지사의 부인)이 저희 딸한테 전화를 해서 ""야, 내가 여태까지 너네 아빠 강제입원 시키는 거 말렸는데’(라고 했다)""면서 ""6월 9일인가 10일 날 전화가 온 거다. 이재명 성남시장이. 욕을 그렇게 해댄 것""이라고 주장했다.",1
53,그런데 오늘은 제가 이 자리에 저희 부부 이야기를 털어놓으려는 참입니다.,1
54,"그래서 저희는 가장 효율적이고, 유일하게 대중에게 뮤지션을 알릴 수 있는 창구가 뉴미디어라고 생각했습니다.",1
55,"많은 분들이 걱정해주시는 가운데, 저희는 예정하고 있는 일본 공연을 하기로 결정했습니다.",1
56,"그는 트럼프 대통령의 주한미군철수 가능성 시사에 대해서는 ""트럼프 대통령이 도대체 왜 그런 말을 했는지 의미는 저희도 잘 모르겠다""며 ""그러나 기자회견에서 분명히 ""주한미군 철수는 없다’, ""이 문제는 북측과 논의한 바 없다’고 말했다""고 일축했다.",1
57,"""며 "" 제 간증 문을 올릴 테니 꼼꼼히 한 번 봐 달라. 그 내용 중에 법적으로 나 윤리적으로 문제가 있다면 당신들의 취재는 합당한 것이겠지만 만약 없다면 저희에게 입히신 모든 피해에 대해 법적 책임을 지시게 될 것"" 이라고 경고했다.",1
58,"저희 탑10 형님 동생이랑 국민가수 나왔던 많은 분들이 이렇게 도와주는 데, 힘을 합치면 가능하지 않을까요?""",1
59,"최 회장은 김 부총리가 평소 자신을 둘러싼 환경을 깬다는 뜻으로 써온 '유쾌한 반란'을 언급하며 ""저희도 발상을 바꿔 껍질을 깨고 스스로 변화시켜 나가겠다는 생각""이라면서 ""변화의 목표는 경제적 가치만 추구했던 기업이 사회적 가치도 추구하는 쪽으로 가자는 것""이라고 말했다.",1
60,"최 대변인은 ""(북측이 남북군사합의 어기는 것이라고 주장을 하지만) 저희는 그렇게 보고 있지 않다""며 ""훈련 중단계획도 현재까지는 없다""고 밝혔다.",1
61,"그는 ""(조사단과) 수시로 연락을 하는 게 아니고 저희가 오늘 중간보고를 받기로 되어 있다""며 ""연락이 오면 알려드릴 사항을 공유토록 하겠다""고 말했다.",1
62,"그러면서 ""올해가 저희 부부의 결혼 10주년이 되는 해인데, 이렇게 너무나 크고 소중한 선물이 와줘서 너무 감사하고 행복하다""며 ""아직은 부모가 된다는것이 낯설지만, 차근차근 배워나가며 태어날 아이에게 현명하고 좋은 부모가 되기 위해 노력할 것. 항상 응원해주시고 보내주신 사랑만큼 보내주신 사랑 잊지 않고 앞으로도 엄마로서, 모델 혜박으로서도 좋은모습 보여드리도록 하겠다""고 덧붙였다.",1
63,"이러한 결정이 종현이 형이 원하는 저희의 모습일 것이고, 팬 여러분과의 약속을 지키며 좋은 무대를 보여드리는 것이, 가장 샤이니 다운 모습일 것이라는 생각이 들었습니다.",1
64,"저희는, 오랜기간 함께 생활하며, 감독님 없이도 열심히 훈련을 해왔고, 외국인 코치들과 함께하며 좋은 성적을 만들어 왔습니다.",1
65,"그런 시어머님이 거의 매주 저희 집에 다녀가셨으니, 저는 늘 긴장이 되고 내 살림을 사는 기분을 느낄 수 없었죠.",1
66,"방송 게재 시각을 지켜달라는 댓글엔 ""아직 저희가 포맷이 확정되지 않아 편집시간이 길어져 어제도 좀 늦어졌다. 몇 주 하다보면 최대한 빨리 편집해서 세 시에는 올릴 수 있도록 하겠다""고 적었다.",1
67,아들은 그 뒤로 저희 부부와 말을 안 하려 들었습니다.,1
68,"아, 저희가 친구들이에요!’",1
69,"민주당 윤리심판원이 열리기 전날 박지현 전 비대위원장이 페이스북에 최 의원의 엄벌을 요구한 것에 대해선 ""이제 저희 위원장은 아니기 때문에 개인으로서 의견을 밝힐 수는 있지만 너무 과도하게 언론에서 사안들을 묶어가는 게 아닌가 생각한다""고 말했다.",1
70,"김 위원장은 그러면서 ""저희는 나름대로 성장담론을 제대로 만들어 여러분 앞에 내놓겠다""고 했다.",1
71,"저희가 거듭 제안을 거절하자 이후 법적으로 문제되는 부분을 확인하고 다시 또 제안하더라"" 라며 "" 세 사람에게 1억 원을 줄 테니 장미 여관을 쓸 수 있도록 해 달라고 했다.",1
72,"A 씨 ""길 잃은 내 아이 봐준 건 고맙지만…다른 꿍꿍이가 있던 것 같아"", ""연락 안 하면 경찰에 신고할 것"" 지난 22일 페이스 ""수원 익명 대신 말해드립니다’에는 ""20일 오후 3시쯤 동수원 **아파트 앞에서 저희 아이한테 사탕 먹이신 학생 분 찾습니다""라는 내용의 글이 게재됐다.",1
73,"靑 ""남북미 정상회담, 미북정상회담에 연동"" 이 관계자는 ""저희가 (남북미 정상회담을) 미리 준비하거나 대비할 생각은 전혀 없다""며 ""통보가 올지 안 올지 모르지만 (미국과 북한이) 통보해 오면 준비할 것""이라고 말했다.",1
74,"박 의원은 ""저희 집에서 며칠 계시면서 저희 어머님께서 ""우리 지원이 국회의원 시켜주쇼잉’하셔 사실상 저를 정계입문을 시켜주신 분""이라며 ""당시 여당인 이종찬 사무차장과 교분이 두터우셔",1
75,연습 후 나눌 수 있는 공연준비 얘기 등을 하고 난 후 남자 선배 둘을 제외하고 저희 동기 둘만 차에 태우고 간 2차 장소는 호텔이었습니다.,1
76,저희는 이를 3200명으로 만드는 게 목표입니다.,1
77,"또한 방명록에는 ""저희는 노 의원께 빚을 졌다""며 ""노 의원께서 꿈꾸신 정치를 못했다. 예의로 표현하신 배려에 응답하지 못했다. 익살로 감추신 고독을 알아드리지 못했다. 안식하소서""라고 적었다.",1
78,"라는 진행자의 질문에 ""글쎄. 같은 집안이고 같은 항렬인데 하여튼 잘 되면 좋겠다""며 ""저희가 중심이 돼서 좀 정국을 잘 풀어내면 좋겠는데… 자칫 잘못하면 갈등의 당사자들이 될 수도 있어서 고민""이라고 답했다.",1
79,특히 한 곳 한 곳 모두 직접 확인을 하고 저희에게 맞는 곳을 소개해준다는 점이 좋아 보였습니다.,1
80,"이 대표는 지난해 10월 국회 국토교통위원회의 경기도청 국정감사에서 경기 성남시 백현동 한국식품연구원 부지의 용도를 4단계 높여준 배경에 대해 ""국토교통부가 요청해서 한 일이고, 공공기관이전특별법에 따라서 저희가 응할 수 밖에 없는 상황이었다""며 ""국토부의 협박’을 거론했다.",1
81,"박 기자는 "" 저희 취재 팀이 초인종을 눌렀을 때, 저희가 집에 있는 걸 알았는데 ( 양 회장은) 나오지 않았다.",1
82,"서 감독은 또 ""박준영이 센터치고는 신장이 작긴 하지만 공격에서는 작은 신장이 큰 문제가 되지 않는다고 봤다. 수비 쪽은 훈련시키는 게 저희 몫이다. 기존 센터진과는 또 다른 색의 옵션이 될 것이다. 적응하는 대로 투입할 생각""이라고 말했다.",1
83,"토마스 바 흐 / IOC 위원장 "" 저희는 한 배를 타고 있습니다.",1
84,"이에 미 미 쿠키 측은 "" 말씀해 주신 쿠키는 냉동 생지를 저희가 오븐에 구운 제품이다.",1
85,"김 위원장은 ""( 한진 그룹과 관련) 여러 가지 사안들에 대해서 저희들이 자료 분석하고 있는 과정에 있다.",1
86,"이날 신동엽은 김희철에게 들어서 이유비 주량은 잘 알고 있다고 하자 데프콘은 ""저희는 잘 몰라요 우리 앞에서 맨날 칵테일만 마신다""라고 말해 웃음을 안겼다.",1
87,"한성숙 네이버 대표는 ""올해 유럽과 인공지능(AI) 분야에 많은 투자가 예상된다""며 ""일본에서 검색(사업)도 하려 하고 있는데, 이런 새로운 것들을 하지 않으면 저희도 3년 뒤 어찌 될지 모른다""고 강조했다.",1
88,"이어 ""만날 때까지 계속 방문할 예정이다. 일단 저희가 현재 할 수 있는 건 해당 업체를 점검하는 것이다. 상황이 어떻게 됐는지를 먼저 확인해야 한다. 그 이후에 문제가 되는 부분에 대해 행정 조처를 취할 예정이다""라고 덧붙였다.",1
89,저희 연습실은 광안리 해변에서 도보로 3분여 거리죠.,1
90,"유희열은 ""시부모님이랑 사이가 굉장히 좋으시다""고 말했고, 소향은 ""매니저 일 봐주시는 분이 저희 시아버님이다. 그냥 절 키우신 거다""고 말했다.",1
91,"민주당 박용진 의원은 지난 13일 BBS라디오 ""전영신의 아침저널’ 인터뷰에서 ""(패스트트랙 충돌) 당시 (한국당) 원내대표인 나경원 원내대표는 빠루 들고 국회에서 온갖 법을 다 막고 있었다""며 ""이런 방식이 국민들에게 준 인식은 ""저기(한국당)는 야당 노릇도 하기 어렵겠구나’였고 그래서 저희가 180석을 얻었다""고 했다.",1
92,저희는 앞으로도 경기장 안팎에서 대한민국 축구의 건강한 발전을 위해 끊임없이 노력하겠습니다.,1
93,"이어 ""여행 피해(미환불 고객 등)를 입은 고객은 저희 회사가 가입한 여행보증보험으로 피해 구제를 받을 수 있다""고 알렸다.",1
94,"저희에게 이른바 ""평화의 골든타임’이 길게 남지 않았다는 것을 잘 알고 있다""고 말했다.",1
95,저희가 모든 걸 다 지원하겠습니다.,1
96,"화장실 문을 열고 밖으로 나가니 조민기 교수는 저희 둘을 억지로 침대에 눕게 했고, 저항하려 했지만 힘이 너무 강해 누울 수밖에 없었다"" 고 덧붙였다.",1
97,"이 지사는 ""워낙 이상한 전화가 많이 와서 정지를 시켰고, 그리고 새로 전화를 한 달쯤, 한 15일, 2~3주 후에 새로 만들었다""면서 ""만약에 그때 요청을 했더라면 저희가 드렸을 텐데 우리로서는 아무 관계도 없고 저희는 웃을 수밖에 없는 일이었기 때문에 그 후 선거에 중고 전화기들을 모아서 선거운동용으로 쓰다가 지금 현재는 그게 없다""고 설명했다.",1
98,"저희는 카카오페이 안 되는데요"" 중국의 경우 노점상에서도 알리페이나 위챗페이로 결제할 수 있는 것처럼, 카카오페이 역시 별도의 VPN(가상사설망) 없이 스마트폰만 있으면 결제가 가능하다.",1
99,"그러면서 ""MB 조카 이동형 다스 부사장 ""다스는 저희 아버지 것이라 생각’""이라는 제목의 기사를 소개했다.",1
100,"윤석열 서울중앙지검장은 19일 서울고검에서 열린 국회 법제사법위원회 국정감사에서 양승태 대법원장 시절 사법행정권 남용 의혹 수사에 대해 ""사법부 주요 조직과 수뇌부 수사는 저희도 솔직히 곤혹스럽다""고 밝혔다.",1
101,"그러니 저희가 설명하겠습니다.""",1
102,"尹 ""국정과제는 국정운영 규범이자 국민과의 약속"" 윤석열 대통령은 15일 ""국정과제는 저희 정부의 국정운영 규범이고, 국민과의 약속""이라고 말했다.",1
103,"그러자 이 당선인은 기자의 질문이 끝나기도 전에 ""네, 감사합니다. 저희가 잘 안 들리는데요. 열심히 하도록 하겠습니다. 고맙습니다""라고 말하며 인이어를 스스로 빼고 인터뷰를 중단했다.",1
104,"당시 저희가 물 새는 지하 1 층에 살고 있었는데, 그 모습을 보시곤 좀 더 좋은 집 구하라고 주신 돈이었죠.",1
105,이번 일과 관련하여 저희 사법부 구성원들도 실로 커다란 충격과 당혹감을 느끼고 있습니다.,1
106,"박지우 역시 ""마지막 바퀴를 앞두고 선영 언니가 이렇게 될 거라는 생각을 아예 안 한 건 아니었는데 저희가 기록 욕심도 있다보니까""라며 ""보름 언니가 솔직히 제일 큰 역할을 맡고 있는 건 사실이고 제가 거기에서 더 보태서 최고의 성적을 보여주기 위해 제가 (김보름) 언니 밀어주는 데 집중했는데""라고 설명했다.",1
107,"그런 점에서 경찰의 수사까지 봐야 된다는 게 저희의 기본적인 생각이고, 야당 특검에 대해서 문제 제기하는 것은 일부 야당이 이 사건을 ""대선 불복 여론조작 사건’ 이렇게 규정하고 있다.",1
108,"이어 자원봉사자들은 ""대자보 훼손 소식을 전해 듣고 당황하는 봉사자들 뒤에서 남학생들이 키득거리며 비웃었다. 여자 대학교였음에도 불구하고 가해행위를 한 후에도 저희를 조롱했다""라고 분노했다.",1
109,저희 멤버들도 다시 일어나려고 하고 있고 물론 종현이 형의 일이 저희가 무너지게 된 계기라고 볼 순 없습니다.,1
110,저희는 월드컵이 아닌 올림픽이 목표였다.,1
111,"아내 : ""저희 집 단골인 한 호텔 사장님이 ""이곳은 미슐랭 2스타 같다’고 하셨어요.",1
112,"예능 덕에 저희를 알게 돼 공연 보러 온다는 분도 많고요.""",1
113,"이어 한 장관이 "" 저희 업무는 1 차적 검증을 하는 것이고, 그동안 민정 수석실에서 하던 업무 그대로다.",1
114,"이 대표는 행사 뒤 임을 위한 행진곡을 제창한 소감을 묻자 ""우리 당 인사 중에서도 개별적으로 제창하는 분도 있었지만, 오늘은 당 차원에서 다 같이 제창하자고 방침 정해서 하는 것이기에 의미 있었다고 보인다""며 ""저희가 오늘 선택한 변화, 그리고 당연히 걸어야 했지만 늦었던 변화는 다시는 과거로 돌아가지 않는 불가역적 변화였으면 좋겠다""고 말했다.",1
115,"하지만, ""연희단 선배’라 알리며 이 사건에 대해 공개적으로 저희를 지지해 주거나 격려해주는 선배가 없어서 내심 외롭고 힘들게 느끼던 중에, ""미투 운동을 적극 지지한다""는 연희단 남자동료의 기사를 보게 되었고, 그 글은 저의 후배인 배우 곽도원이 쓴 것이었습니다.",1
116,조사단은 저희가 수사 결과를 발표했고 마무리 증거자료 정리한 다음에 수사팀은 해단을 한다.,1
117,"이어 ""산업생산도 월별 통계가 중요한 게 아니고 추세를 보는 것이 중요하다""며 ""저희가 판단하기에 광공업생산 빼고는 다른 쪽은 나쁜 흐름을 보이고 있지 않다""고 못 박았다.",1
118,"생후 5개월까지는 저희 집에 함께 사셨고, 지금은 오전 8시에 오셔서 오후 8시까지 봐주십니다.",1
119,하지만 저희는 잠깐이지요.,1
120,해당 섬들은 저희가 생각한 한계 인구의 4배 이상의 유저분들이 진출해 계신 상황입니다.,1
121,"이어 ""이번 사건은 제작진 몇 사람의 단순한 실수로 볼 수 없다. 일상적인 프로그램 제작 과정에서 방송이 가진 사회적 책임을 다하기 위한 저희 종사자들 모두의 각성과 노력이 여전히 모자라다는 점을 깨닫게 됐다""라고 덧붙였다.",1
122,"이어 ""심지어 이 파업 찬반투표는 최남수 사장이 노사합의를 파기하기 이전에 치러졌다""며 ""그럼에도 불구하고 이 정도의 찬성률이 나왔다는 것은 그만큼 공정방송에 대한 내부 열망이 굉장히 높이 올라와있고, 저희 기자들로서는 이번이 정말 마지막 싸움이고 여기에서 물러나면 회사 존립의 문제라는 위기의식을 가지고 있는 것""이라고 설명했다.",1
123,"쫀듸기’ 걸고 갤러그 대결 ""저희 회사는 송년회를 테마 파티형식으로 진행합니다.",1
124,"또 내게 주신 은혜를 알므로 기둥같이 여기는 야고보와 게바와 요한도 나와 바나바에게 교제의 악수를 하였으니 이는 우리는 이방인에게로, 저희는 할례자에게로 가게하려 함이라 갈2:8~9 할례자(유대인)로 부르심을 받은 자가 있느냐?",1
125,대신 예약과 결제 시스템이 뒤에서 저희 시스템으로 이어집니다.,1
126,"특히 휴대전화 교체를 두고 ""증거인멸’ 의혹에 나오는 데 대해선 ""4월에 벌어진 사건인데 (경찰이) 한 번도 휴대전화를 요청한 적이 없었다. 변호사를 통해 휴대전화를 제출할 의사가 있느냐고 물어오지도 않았다""며 ""선거용으로 쓰던 휴대전화인데, 만약 그때 요청을 했으면 드렸을 것이다. 왜 7개월 동안 요청을 안 했는지 저희도 아쉽게 생각한다""고 말했다.",1
127,"홍 사무총장은 15일 cbs라디오 ""김현정의 뉴스쇼’와 인터뷰에서 ""우리 정강정책이라든지 사회적 현안 문제를 토론하고 간담회 하는 그런 자리에서 강연재 변호사가 자연스럽게 저희와 합류해 그런 정책을 논의해 왔다""며 이같이 말했다.",1
128,"""이미 사실 관계 확인이 끝났고, 북송할 일은 없다고 이해하면 되느냐’는 질문엔 ""방송 내용에 대해서 저희(통일부)가 검토 중에 있다""면서 ""다시 말씀드리면 판문점 선언에 ""남과 북은 인도적 문제를 시급히 해결하기 위해서 노력하며 적십자회담을 개최해서 이산가족 상봉을 비롯한 제반 문제들을 협의·해결해 나가기로 했다’고 돼있다""고 말했다.",1
129,위원장 원래 저희가 내일 하려고 했는데.,1
130,이것이 허용되면 저희가 적극적으로 준비해서 안경원과 소비자 모두 만족할 수 있는 서비스를 제공하고자 합니다.,1
131,어찌 됐든 이 빅텐트를 한번 만들어보자라고 하는 이런 생각들에 대한 저희가 생각을 갖고 논의를 진행하고 있고요.,1
